material_id,formula_pretty,band_gap,MagpieData mean MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,max ionic char,avg ionic char,band center
mp-1264233,ZnCo(SiO3)2,2.5473,80.5,29.0,7.8,2.7969999999999997,1.79,0.7716000000000001,86.6,60.0,24.72,2.0,0.0,0.0,2.8,4.0,1.44,1.7,10.0,2.7199999999999998,0.0,0.0,0.0,2.0,2.8,1.7,0.0,0.3076923076923077,0.43076923076923074,0.26153846153846155,0.0,0.5511313621135028,0.11453142893004961,6.199113430836812
mp-16991,RbMoAsO6,2.4553000000000003,73.33333333333333,83.0,20.592592592592595,2.8666666666666667,2.62,0.7644444444444444,98.77777777777777,154.0,43.7037037037037,1.7777777777777777,1.0,0.34567901234567905,3.0,4.0,1.3333333333333333,1.6666666666666667,10.0,2.592592592592593,0.0,0.0,0.0,1.7777777777777777,3.0,1.6666666666666667,0.0,0.27586206896551724,0.46551724137931033,0.25862068965517243,0.0,0.8202341305415322,0.11895681869084472,5.9190525793536315
mp-1218718,Sr2PrGaO5,3.4958,60.22222222222222,79.0,32.81481481481481,2.448888888888889,2.49,1.1012345679012345,116.11111111111111,137.0,55.67901234567901,2.0,0.0,0.0,2.3333333333333335,4.0,1.8518518518518516,1.1111111111111112,10.0,1.9753086419753088,0.3333333333333333,3.0,0.5925925925925926,2.0,2.3333333333333335,1.1111111111111112,0.3333333333333333,0.34615384615384615,0.40384615384615385,0.19230769230769232,0.05769230769230769,0.7877573323062756,0.17839587640096194,4.98332798629369
mp-1520564,Ba2CaSeO6,2.01,63.6,82.0,33.160000000000004,2.597,2.55,1.0116,112.2,149.0,55.44000000000001,2.0,0.0,0.0,2.8,4.0,1.6799999999999997,1.0,10.0,1.8,0.0,0.0,0.0,2.0,2.8,1.0,0.0,0.3448275862068966,0.48275862068965514,0.1724137931034483,0.0,0.8032113561415081,0.168153548762879,5.466230905669402
mp-5370,ErNbO4,3.4799,71.66666666666667,52.0,20.444444444444443,2.766666666666667,2.2,0.8977777777777777,102.83333333333333,123.0,49.11111111111111,1.8333333333333333,1.0,0.27777777777777785,2.6666666666666665,4.0,1.777777777777778,0.6666666666666666,4.0,1.111111111111111,2.0,12.0,3.3333333333333335,1.8333333333333333,2.6666666666666665,0.6666666666666666,2.0,0.25581395348837205,0.3720930232558139,0.09302325581395347,0.27906976744186046,0.7018027205701127,0.14231294529576655,5.8713043894243215
mp-766894,V4Si4O13,0.658799999999999,77.47619047619048,41.0,11.990929705215416,2.801904761904762,1.81,0.7900226757369614,91.14285714285714,87.0,31.12925170068027,2.0,0.0,0.0,2.857142857142857,4.0,1.4149659863945578,0.5714285714285714,3.0,0.9251700680272108,0.0,0.0,0.0,2.0,2.857142857142857,0.5714285714285714,0.0,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.0,0.5591387152201337,0.11932567961884073,6.0133648149601315
mp-1031281,KMg6WO8,3.989300000000001,72.375,84.0,14.625,2.41,2.62,1.03,108.6875,137.0,42.6875,1.9375,1.0,0.1171875,2.0,4.0,2.0,0.25,4.0,0.46875,0.875,14.0,1.640625,1.9375,2.0,0.25,0.875,0.38271604938271603,0.3950617283950617,0.04938271604938271,0.1728395061728395,0.8202341305415322,0.16948186726973705,5.263711363186879
mp-7064,Er2Si2O7,4.798599999999999,75.9090909090909,52.0,14.876033057851242,2.76,2.2,0.8654545454545456,96.54545454545455,123.0,38.87603305785124,2.0,0.0,0.0,2.909090909090909,4.0,1.3884297520661157,0.0,0.0,0.0,2.1818181818181817,12.0,3.5702479338842976,2.0,2.909090909090909,0.0,2.1818181818181817,0.28205128205128205,0.4102564102564103,0.0,0.30769230769230765,0.7018027205701127,0.13636238683999105,5.973817279592606
mp-1214463,BaMnO4,0.5058,68.16666666666667,78.0,25.11111111111111,2.6999999999999997,2.55,0.9866666666666667,103.0,149.0,49.333333333333336,2.0,0.0,0.0,2.6666666666666665,4.0,1.777777777777778,0.8333333333333334,5.0,1.388888888888889,0.0,0.0,0.0,2.0,2.6666666666666665,0.8333333333333334,0.0,0.36363636363636365,0.4848484848484848,0.15151515151515152,0.0,0.8032113561415081,0.15773232625555517,5.639825896582443
mp-1224655,GdY(FeO3)2,1.583099999999999,67.1,75.0,23.880000000000003,2.6719999999999997,2.24,0.9216000000000001,104.6,130.0,46.32,2.0,0.0,0.0,2.4,4.0,1.9200000000000004,1.4,6.0,1.8399999999999999,0.7,7.0,1.26,2.0,2.4,1.4,0.7,0.3076923076923077,0.3692307692307692,0.21538461538461537,0.10769230769230768,0.7147530549426948,0.14628188529641972,5.639043162028926
